Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-0077,2/17/2016,1/3/2016,Standard Class,CUST-077,Customer 077,Home Office,United States,New York,New York,80169,South,PROD-0077,Furniture,Bookcases,Product 077,479.96,8,0.32,2.57
CA-2016-0078,8/8/2016,1/6/2016,Standard Class,CUST-078,Customer 078,Home Office,United States,Los Angeles,Texas,84689,South,PROD-0078,Technology,Art,Product 078,737.17,4,0.32,120.16
CA-2016-0079,2/20/2016,1/4/2016,First Class,CUST-079,Customer 079,Home Office,United States,Houston,New York,66278,West,PROD-0079,Office Supplies,Binders,Product 079,847.96,3,0.08,171.52
CA-2016-0080,2/25/2016,1/2/2016,Standard Class,CUST-080,Customer 080,Corporate,United States,New York,Illinois,99207,South,PROD-0080,Furniture,Phones,Product 080,186.35,8,0.43,98.37
CA-2016-0081,2/22/2016,1/4/2016,First Class,CUST-081,Customer 081,Home Office,United States,Chicago,Texas,25405,South,PROD-0081,Furniture,Art,Product 081,113.96,1,0.35,287.38
CA-2016-0082,9/26/2016,1/6/2016,Standard Class,CUST-082,Customer 082,Consumer,United States,New York,Illinois,90624,East,PROD-0082,Technology,Art,Product 082,521.86,6,0.27,144.58
CA-2016-0083,8/19/2016,1/2/2016,Same Day,CUST-083,Customer 083,Home Office,United States,New York,Texas,40421,West,PROD-0083,Office Supplies,Bookcases,Product 083,73.97,7,0.12,185.35
CA-2016-0084,6/27/2016,1/2/2016,Second Class,CUST-084,Customer 084,Corporate,United States,Chicago,California,43434,South,PROD-0084,Furniture,Binders,Product 084,387.16,6,0.46,292.35
CA-2016-0085,3/28/2016,1/6/2016,Standard Class,CUST-085,Customer 085,Home Office,United States,New York,Texas,85800,Central,PROD-0085,Furniture,Bookcases,Product 085,757.66,9,0.27,199.25
CA-2016-0086,10/1/2016,1/4/2016,Standard Class,CUST-086,Customer 086,Corporate,United States,New York,New York,78217,Central,PROD-0086,Furniture,Phones,Product 086,101.41,1,0.38,-40.3
CA-2016-0087,12/6/2016,1/6/2016,First Class,CUST-087,Customer 087,Consumer,United States,Los Angeles,Texas,68346,Central,PROD-0087,Office Supplies,Binders,Product 087,362.86,1,0.17,100.02
CA-2016-0088,12/30/2016,1/4/2016,Second Class,CUST-088,Customer 088,Corporate,United States,Houston,Illinois,17442,South,PROD-0088,Office Supplies,Phones,Product 088,475.26,9,0.12,89.18
CA-2016-0089,6/1/2016,1/2/2016,Standard Class,CUST-089,Customer 089,Corporate,United States,Phoenix,Texas,52762,South,PROD-0089,Technology,Art,Product 089,801.27,10,0.36,108.06
CA-2016-0090,4/26/2016,1/5/2016,Standard Class,CUST-090,Customer 090,Home Office,United States,Chicago,Arizona,54594,East,PROD-0090,Technology,Phones,Product 090,121.15,3,0.41,53.71
CA-2016-0091,11/3/2016,1/4/2016,First Class,CUST-091,Customer 091,Home Office,United States,New York,New York,53270,Central,PROD-0091,Furniture,Bookcases,Product 091,907.71,10,0.16,219.66
CA-2016-0092,9/14/2016,1/2/2016,Second Class,CUST-092,Customer 092,Corporate,United States,New York,Illinois,74905,Central,PROD-0092,Office Supplies,Binders,Product 092,735.5,10,0.24,91.12
CA-2016-0093,4/8/2016,1/6/2016,Standard Class,CUST-093,Customer 093,Home Office,United States,Houston,New York,32228,West,PROD-0093,Technology,Phones,Product 093,241.67,8,0.5,272.6
CA-2016-0094,3/6/2016,1/5/2016,Standard Class,CUST-094,Customer 094,Consumer,United States,Los Angeles,Illinois,57946,East,PROD-0094,Furniture,Art,Product 094,346.41,4,0.35,242.57
CA-2016-0095,9/15/2016,1/5/2016,Same Day,CUST-095,Customer 095,Home Office,United States,Houston,Arizona,74486,West,PROD-0095,Furniture,Binders,Product 095,751.69,4,0.33,246.12
CA-2016-0096,11/26/2016,1/5/2016,Standard Class,CUST-096,Customer 096,Home Office,United States,Los Angeles,California,54905,South,PROD-0096,Furniture,Binders,Product 096,638.52,3,0.44,-8.3
CA-2016-0097,3/22/2016,1/2/2016,Same Day,CUST-097,Customer 097,Home Office,United States,Houston,Texas,85549,West,PROD-0097,Furniture,Binders,Product 097,946.58,9,0.5,97.29
CA-2016-0098,12/17/2016,1/6/2016,Standard Class,CUST-098,Customer 098,Corporate,United States,Chicago,New York,27942,East,PROD-0098,Furniture,Tables,Product 098,80.45,6,0.11,209.02
CA-2016-0099,4/26/2016,1/5/2016,Second Class,CUST-099,Customer 099,Corporate,United States,New York,California,26856,West,PROD-0099,Technology,Phones,Product 099,492.25,5,0.28,174.56
CA-2016-0100,9/25/2016,1/5/2016,First Class,CUST-100,Customer 100,Corporate,United States,Houston,New York,77060,East,PROD-0100,Technology,Tables,Product 100,836.45,9,0.37,26.79
